171614,2,53085
6719,2,78
20005,2,9285
82649,2,78279
158946,2,158947
148518,0,5965
190396,2,210934
244337,0,83
61879,2,4233
147722,2,32311
265468,0,25998
73579,2,9127
8070,2,91
114367,0,398
91986,2,91534
2598,0,4671
70451,0,91
83164,2,5363
6983,2,14980
12517,2,42699
32334,2,187087
299408,1,7493
194555,0,315
180832,2,56995
127713,0,262276
217003,2,138739
189268,0,9782
120075,2,116416
189141,2,134529
184594,2,56995
105179,0,91
93143,0,57760
10203,0,22
92562,0,91
278875,2,293087
4301,2,34017
270258,2,114206
66496,2,47805
121206,2,276926
19018,0,43745
300532,2,201396
5250,0,22
16217,0,208539
187676,2,23918
89755,2,65837
33597,0,283610
198772,2,7646
260880,0,83
223349,1,49337
36701,2,35995
105565,2,117054
81307,2,32796
108703,2,107128
108396,2,24025
325,0,6
127455,2,78740
134246,2,2055
144758,2,646
94799,1,99047
101156,2,232706
15038,2,91
259598,2,251372
57477,0,315
289739,2,207087
540,2,4456
143639,0,76171
132213,2,2321
232219,2,14040
44125,2,1043
167646,2,167645
51090,2,91
25690,0,9127
214739,2,152870
184126,2,30065
115286,2,33300
193408,0,201370
278280,1,278281
21424,0,21424
265371,2,593
59555,0,4087
181501,2,18640
70911,2,47840
278155,0,22502
134714,2,134715
69424,2,285104
258887,2,241646
857,0,856
132114,2,33300
156029,2,21771
46868,0,317
148851,2,139047
7661,0,749
8332,2,29512
199041,2,26454
164081,2,4616
26576,2,68957
55108,0,4874
151679,2,108977
208194,2,33267
131215,2,90454
198172,2,156724
9525,2,5363
192858,0,91
243956,2,62741
14054,0,91
247206,2,168341
136640,2,223861
149868,0,24872
24872,1,34899
183192,1,168607
215689,2,629
302028,0,285835
134355,2,6887
157135,2,155946
215998,2,279728
25233,1,24577
47240,0,14001
58705,2,11000
159670,2,83
152473,2,62563
147641,2,317
135574,0,192469
193826,2,189213
279904,2,59645
89695,2,91
242051,0,45542
39816,0,398
79110,2,74474
8382,0,56995
81874,2,46625
57977,2,169727
73160,2,71220
285896,0,286403
153676,0,16215
43260,2,76379
91638,0,53731
178376,2,3409
189387,2,34220
270605,2,10382
171744,2,68957
261062,2,13730
213293,2,1784
291351,0,3497
3062,1,92
16061,2,91
191171,0,35990
92453,2,88810
43110,0,43111
178332,0,54613
39246,0,60518
10714,2,11231
243006,0,83
580,0,4615
106243,0,11276
9321,0,5163
122809,0,3191
243052,2,205742
33202,2,91
5667,0,7168
52246,0,1723
35561,2,38023
54,2,3250
293521,2,293593
52728,2,117054
86366,0,83
237602,2,25755
125695,2,19848
29162,0,260486
122517,2,20194
300162,0,297116
261037,0,248240
14852,2,14498
81357,0,91
108505,2,749
214834,2,95422
226453,0,9782
189053,2,157626
106200,2,5965
497,2,20829
29851,2,825
148103,0,1466
58772,2,825
24883,0,204
250805,2,121087
65475,2,18991
240123,1,2386
205483,0,31221
41086,2,86234
239467,2,83
104505,2,42521
30701,2,28381
52671,0,74272
178138,2,177650
162141,0,159893
48724,0,315
288696,0,192867
142757,2,57664
110081,1,1410
184509,2,57664
239574,2,6180
286571,0,53838
247896,2,247897
569,0,568
71823,1,57812
109474,0,107701
152841,2,9907
18636,0,317
292860,2,2071
46146,1,91
20197,0,68811
92401,0,50417
271048,2,27401
4258,0,5163
37736,2,81278
164295,0,7168
8437,0,21329
65035,1,65035
137016,2,19852
104914,2,73718
19915,0,55
107355,1,43694
29792,2,317
43686,2,94756
173017,2,14040
272936,2,285502
53795,2,40589
151502,2,92
3527,2,155616
295987,0,27126
162241,0,9907
3927,1,83
158877,2,158878
49995,2,749
17594,0,91
55374,2,54329
208670,2,33267
48547,0,175289
183418,2,173349
30884,2,55315
804,0,804
116665,2,9548
116491,0,95175
240029,2,56995
1124,2,91
302272,2,30650
17410,0,825
79751,0,20748
88323,2,293519
165283,0,165283
20195,2,4209
12450,2,10887
34936,2,83
134724,0,15048
211852,0,176173
2691,1,2692
147563,2,138338
117423,0,7493
82589,2,70172
99649,2,7646
196526,2,192620
30347,2,428
163018,2,83
116537,2,88810
159528,0,159527
145356,0,7712
27041,1,59400
123728,2,5184
273,2,7564
28437,2,3729
125286,2,150722
3309,2,2929
100588,2,73206
6439,2,485
211395,2,73206
290647,2,203004
30775,2,30673
144644,1,140787
19063,2,16608
84533,2,64993
276940,2,274972
68105,0,7280
182041,1,182042
249570,2,196391
275258,2,232706
95091,2,43292
115701,2,83
125786,0,124105
188719,0,160075
295881,1,295882
26609,0,12957
188850,0,55610
272252,2,268573
14626,2,14255
172259,2,83
31624,2,3409
285479,0,91
59278,0,11771
11803,1,12011
118971,2,111764
183281,0,724
137149,0,137150
200758,0,116786
112624,2,77740
185693,2,66057
161301,2,19315
168517,0,168517
4571,0,17308
145216,2,13980
253347,0,253348
235278,2,9118
67757,0,35881
125917,2,125918
89169,0,91
272,2,7398
53091,2,33281
178847,0,922
151137,2,151138
79760,2,79761
204745,2,38234
204886,2,56995
84603,1,132745
62601,2,75125
93325,2,45460
303519,2,16147
122447,2,25641
289688,2,165616
142417,0,207442
8979,2,8962
139482,2,139483
173122,2,83
17505,2,16887
2528,2,76238
39125,2,317
270887,2,270746
140874,2,57664
27811,2,4209
5586,1,13430
218582,1,184489
127862,2,125907
101353,0,22358
23683,0,398
59633,1,54923
45590,2,118
32290,0,3250
9490,2,38853
59211,2,59210
35157,2,19315
172225,2,83
59502,2,83
141147,0,91
206641,2,84206
385,0,235652
171962,2,31221
188467,2,56995
24508,2,16429
106390,0,14117
214324,2,213624
22487,2,91
2507,2,91
6789,2,44596
92375,2,71880
26835,0,22079
295050,0,3729
133945,0,50826
2949,0,11783
4370,0,7712
106772,0,54529
297217,2,22502
302416,2,12136
23777,0,91
298646,0,107171
4606,0,825
3924,2,3916
10230,0,8921
38985,0,241977
2232,0,91
120217,0,20450
114619,0,39047
181701,2,101317
193432,2,101317
202767,0,91
154241,2,132968
144675,2,137087
109631,2,317
204135,2,7858
21194,2,3757
103619,2,274458
157872,2,15781
26449,0,4209
186100,2,69967
143582,0,155396
16384,2,8
133739,2,88159
174542,2,55315
52006,2,31371
106849,2,74533
14340,2,14255
234890,2,133270
22272,2,285014
137656,2,43459
107615,0,14747
272596,2,13664
45493,1,45494
187422,2,3729
176321,2,2321
162083,2,9907
51273,0,4456
267733,2,73617
91883,0,56995
220717,1,196217
276769,2,111761
87561,0,5965
50993,0,204
57709,1,17946
26618,2,1915
95903,2,84206
146173,2,140432
47421,2,178758
287893,0,7662
72768,0,64077
240958,2,5363
45259,2,280937
4236,2,7129
89629,0,65414
4315,2,91
18076,2,33281
48523,2,268101
168516,1,205341
295932,2,283786
1888,2,317
80765,2,22502
120776,2,56197
73019,0,73019
46680,0,1034
10593,2,10448
300287,1,2085
162382,2,164672
133716,2,58498
36210,2,91
280599,0,2386
253892,1,54523
220890,0,79510
77487,2,4635
20244,0,34807
74008,2,22502
78491,2,64993
43848,2,9765
219600,2,181048
7403,2,7404
47171,1,44904
144456,2,64993
243948,2,223861
67043,2,46219
265666,2,273526
120274,0,3685
89503,0,29597
18282,0,255326
252504,2,5965
15875,0,27432
236584,2,18640
28707,2,20096
65876,2,5965
128473,1,128063
1888,2,398
67005,2,38023
115016,2,68089
4221,2,20453
42278,1,219
30218,0,91
160070,2,126209
191441,2,267180
38286,2,91
